url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
kdGV_8DvJCs,"
          
          
          
          
            Affaire Guillaume Meurice : jusquoù peut-on aller par humour ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-11T20:07:10.722Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,0,0,1
PrGEgiF6cDw,"
          
          
          
          
            🔴 FX BELLAMY RÉPOND EN DIRECT
          
        ",François-Xavier Bellamy,proposal,2024-05-11T20:07:10.726Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
8qpiTVHukmw,"
          
          
          
          
            #VotreEurope : François-Xavier Bellamy (Les Républicains) répond à la question des internautes
          
        ",franceinfo,proposal,2024-05-11T20:07:10.732Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
mpLUFFPX5X4,"
          
          
          
          
            Strasbourg : François-Xavier Bellamy et Laurent Wauquiez en campagne pour les élections européennes
          
        ",France 3 Grand Est,proposal,2024-05-11T20:07:10.737Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
spEkVxaLFW0,"
          
          
          
          
            The program of the 6 other candidates (Poutou, Asselineau Lassalle ...) - 5 minutes to decipher
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:07:10.741Z,,0,18,19,DWDCO4c5kQg,1,0,0,0,0,1,0,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-11T20:07:10.747Z,,0,18,19,DWDCO4c5kQg,1,0,1,0,0,1,1,0
4Kftid4ouA0,"
          
          
          
          
            Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face
          
        ",BFMTV,proposal,2024-05-11T20:07:10.754Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,1,0,0
ttps://www.youtube.com/shorts/jeH2HfVyZR0,"
          
          
          
          
            Vous dites eurodeputé ou député européen ? 🇫🇷🇪🇺
          
        ",François-Xavier Bellamy,proposal,2024-05-11T20:07:10.761Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
kFMw-t4uYcY,"
          
          
          
          
            François-Xavier Bellamy à lUniversité Libé : Le Grand Oral des européennes
          
        ",François-Xavier Bellamy,proposal,2024-05-11T20:07:10.767Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
Z_gcqq9B_ec,"
          
          
          
          
            Élections européennes: le débat entre Raphaël Glucksmann et François-Xavier Bellamy en intégralité
          
        ",BFMTV,proposal,2024-05-11T20:07:10.773Z,,0,18,19,DWDCO4c5kQg,0,0,1,1,0,1,1,0
BJsZYW4zLbQ,"
          
          
          
          
            En meeting à Paris : les Républicains serrent les rangs autour de Bellamy
          
        ",FRANCE 24,proposal,2024-05-11T20:07:10.778Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
8NVFTzT8-f8,"
          
          
          
          
            Israël menacée de sanctions américaines : Cela ne remet pas en cause laide des États-Unis
          
        ",FRANCE 24,proposal,2024-05-11T20:07:10.784Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,1,0,0
