,Le Pen_YouTube,Macron_YouTube,Mélenchon_YouTube,Pécresse_YouTube,Zemmour_YouTube
2022-03-07,0.17568357402775397,0.37659052117867803,0.10136156233316196,0.07901644821247245,0.18335801464405477
2022-03-08,0.1815931924554779,0.3789649229206775,0.10223883474339501,0.0675791935522084,0.1820869085473719
2022-03-09,0.17642394031913722,0.3983021186001648,0.10530516049484726,0.0766600878304966,0.16848109747354148
2022-03-10,0.17845044232381574,0.39188237893523753,0.0908508564295576,0.06292148964446315,0.19969882616634102
2022-03-11,0.17338513531986124,0.4226987118646795,0.07352436392730609,0.05668684898820094,0.20057192268059754
2022-03-12,0.1585064191617178,0.395990713134263,0.10177939240996665,0.06253628117704087,0.22075005952146137
2022-03-13,0.1445232160270416,0.387428688116337,0.0971128463223684,0.06632893673148242,0.24519001280871303
2022-03-14,0.1321904096571223,0.3460809796727683,0.10556672534477274,0.08080972998218862,0.2554932020184811
2022-03-15,0.1309622701558086,0.312902717094527,0.11198987687934743,0.08455216937389216,0.2754626478100353
2022-03-16,0.12144228199807361,0.299181263515114,0.1272865520066981,0.08107033084867517,0.2694831401785204
2022-03-17,0.10127908020824954,0.3052645677927959,0.15175412459367804,0.07940491924532568,0.22489381226563943
2022-03-18,0.0789722915794691,0.35083869774345283,0.14454826394323564,0.09623667812970403,0.19452399612538324
2022-03-19,0.07755593057218002,0.3768977557082232,0.11779284042008734,0.09409656149388831,0.17980797637486842
2022-03-20,0.09460036453397017,0.370114267224928,0.12098447762743318,0.08920919587155236,0.16034752120994836
2022-03-21,0.1056555536782889,0.39435275892860044,0.10653708271503234,0.09227956031246556,0.14644219694584787
2022-03-22,0.10982965800987507,0.3943891662985361,0.12014835566354942,0.09482459129847218,0.12233998048035122
2022-03-23,0.13283767769427102,0.38843225834658673,0.12142810463926819,0.08769632792753752,0.11675193973848765
