url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
Pqf8xWkNjxU,"
          
          
          
          
            Arié Alimi : « Le sionisme n’est pas le cœur du judaïsme »
          
        ",Mediapart,proposal,2024-05-10T20:51:05.443Z,,0,2,3,8E3yWUz0fRs
ToDyDsjM-38,"
          
          
          
          
            STOP À LA CORRUPTION DES ÉLUS !
          
        ",Manon Aubry,proposal,2024-05-10T20:51:05.449Z,,0,2,3,8E3yWUz0fRs
dmB7qa_ccm4,"
          
          
          
          
            Apostrophes: François Mitterrand répond à Bernard Pivot | Archive INA
          
        ",Ina Culture,proposal,2024-05-10T20:51:05.455Z,,0,2,3,8E3yWUz0fRs
iazrXtG-5CM,"
          
          
          
          
            Victoires en Ukraine et menace nucléaire : Poutine et la Russie sans limites ? • FRANCE 24
          
        ",FRANCE 24,proposal,2024-05-10T20:51:05.459Z,,0,2,3,8E3yWUz0fRs
6hMhr5xYuVc,"
          
          
          
          
            Manon Aubry passe son Grand Oral des européennes à lUniversité Libé
          
        ",Libération,proposal,2024-05-10T20:51:05.464Z,,0,2,3,8E3yWUz0fRs
_eqsKtbBMcA,"
          
          
          
          
            Fusillade dans un commissariat de Paris : Une violence gratuite déraisonnable
          
        ",Europe 1,proposal,2024-05-10T20:51:05.469Z,,0,2,3,8E3yWUz0fRs
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-10T20:51:05.473Z,,0,2,3,8E3yWUz0fRs
BWMIsM_RT-w,"
          
          
          
          
            Nucléaire : Poutine menace, Loukachenko en rajoute
          
        ",LCI,proposal,2024-05-10T20:51:05.478Z,,0,2,3,8E3yWUz0fRs
YVwEjuLpbLg,"
          
          
          
          
            A quoi faut-il sattendre à Gaza avec les nouvelles opérations de Tsahal ? - C Ce soir du 8 mai 2024
          
        ",C ce soir,proposal,2024-05-10T20:51:05.485Z,,0,2,3,8E3yWUz0fRs
Hr-whpEhz1w,"
          
          
          
          
            Enquête sur CNews, « matrice du projet dextrême droite de Bolloré »
          
        ",Mediapart,proposal,2024-05-10T20:51:05.490Z,,0,2,3,8E3yWUz0fRs
